iter	Passed	Remaining
273	12279	78694
274	12324	78651
275	12362	78566
276	12401	78482
277	12439	78396
278	12478	78313
279	12511	78198
280	12546	78089
281	12584	78007
282	12626	77945
283	12665	77865
284	12702	77772
285	12734	77651
286	12770	77559
287	12811	77489
288	12841	77357
289	12881	77290
290	12920	77212
291	12956	77116
292	12991	77014
293	13025	76914
294	13064	76838
295	13104	76765
296	13138	76665
297	13176	76584
298	13211	76485
299	13246	76390
300	13286	76317
301	13321	76225
302	13357	76136
303	13400	76084
304	13434	75981
305	13466	75872
306	13509	75822
307	13545	75729
308	13580	75639
309	13620	75573
310	13663	75523
311	13705	75466
312	13743	75391
313	13777	75292
314	13819	75238
315	13856	75156
316	13891	75065
317	13930	74996
318	13966	74911
319	14007	74850
320	14043	74766
321	14080	74685
322	14116	74604
323	14152	74518
324	14187	74430
325	14220	74329
326	14257	74249
327	14296	74182
328	14333	74106
329	14372	74041
330	14413	73982
331	14455	73933
332	14494	73864
333	14532	73794
334	14565	73696
335	14604	73631
336	14640	73550
337	14679	73484
338	14718	73420
339	14763	73381
340	14794	73279
341	14830	73200
342	14871	73142
343	14907	73065
344	14946	73000
345	14980	72910
346	15017	72836
347	15059	72788
348	15100	72732
349	15140	72674
350	15177	72602
351	15211	72513
352	15249	72445
353	15289	72387
354	15327	72322
355	15366	72255
356	15403	72186
357	15444	72131
358	15480	72055
359	15519	71991
360	15559	71934
361	15596	71863
362	15635	71801
363	15672	71730
364	15711	71671
365	15746	71592
366	15785	71531
367	15823	71461
368	15863	71407
369	15900	71335
370	15940	71282
371	15978	71216
372	16012	71133
373	16047	71053
374	16085	70989
375	16117	70899
376	16154	70831
377	16192	70765
378	16227	70690
379	16261	70608
380	16313	70606
381	16355	70557
382	16391	70485
383	16424	70404
384	16460	70330
385	16498	70269
386	16533	70190
387	16569	70121
388	16606	70053
389	16647	70003
390	16684	69937
391	16719	69864
392	16757	69803
393	16796	69744
394	16833	69678
395	16869	69608
396	16908	69552
397	16945	69484
398	16983	69423
399	17018	69351
400	17053	69277
